Date,Car,Year,Price,Mileage,Location,URL
01/31/21,Lexus GS F,2020,"$83,898","1,714 mi.","Woodbury, NY(756 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833332736/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$47,994","27,573 mi.","Jacksonville, FL(885 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833146508/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$74,995","4,271 mi.","Tampa, FL(1025 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832012004/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2017,"$34,500","108,951 mi.","Midlothian, VA(634 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831176849/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$51,998","32,814 mi.","Webster, TX(954 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829095800/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$69,989","16,010 mi.","Cathedral City, CA(1644 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827961256/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2018,"$68,999","1,660 mi.","Alexandria, VA(615 mi. from 60004)",https://www.cars.com/vehicledetail/detail/826688801/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$69,692","9,443 mi.","Cathedral City, CA(1644 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824777548/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$49,900","29,323 mi.","Linden, NJ(720 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824218908/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$46,999","45,789 mi.","Marietta, GA(593 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824056177/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$72,794","6,482 mi.","Sacramento, CA(1763 mi. from 60004)",https://www.cars.com/vehicledetail/detail/823621026/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$44,995","23,891 mi.","Bronx, NY(735 mi. from 60004)",https://www.cars.com/vehicledetail/detail/813405722/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,"Lexus GS F-SPORT / NAVIGATION / MARK LEVINSON 350,...",2018,"$40,999",N/A,"Fort Worth, TX, USA(835 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=274667040520
01/31/21,Lexus GS F Sport Hybrid 450h F Sport Hybrid,2018,"$56,995",N/A,"San Ramon, CA, USA(1815 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=233878763919
01/31/21,"Lexus GS F-SPORT / NAVIGATION / MARK LEVINSON 350,...",2018,"$41,999",N/A,"Fort Worth, TX, USA(835 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=274666079139
01/31/21,Lexus GS F F F Used Certified 5L V8 32V Automatic RWD...,2016,"$51,998",N/A,"Webster, TX, USA(960 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=154312702751
01/31/21,Lexus GS F SPORT / NAVIGATION / MARK LEVINSON AUDIO...,2019,"$46,998",N/A,"Dallas, TX, USA(805 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=383927083386
01/31/21,Lexus GS F F SPORT GS350 F Sport V6,2014,"$20,995",N/A,"Palm Bay, FL, USA(1060 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=353355032294
01/31/21,Lexus GS F,2020,"$68,999","8,366 mi.","Westmont, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827809201/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,N/A,N/A,"Excelsior Springs, MO(378 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837146160/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$45,877","51,356 mi.","Omaha, NE(418 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835984630/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$36,989","104,487 mi.","Clarksville, IN(286 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833147124/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2017,"$50,988","40,875 mi.","Cincinnati, OH(276 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831620093/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$48,690","34,575 mi.","Bethesda, MD(609 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837188241/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$68,988","5,255 mi.","Macon, GA(682 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833715067/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2018,"$59,998","34,771 mi.","Tulsa, OK(592 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836673372/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$46,000","66,761 mi.","Merritt Island, FL(1036 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836624010/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$48,988","49,303 mi.","Austin, TX(981 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836582997/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$72,998","2,498 mi.","Inglewood, CA(1736 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833080986/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2018,"$58,990","18,879 mi.","South Amboy, NJ(719 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836401807/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$43,970","85,680 mi.","Stone Mountain, GA(609 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836185754/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2018,N/A,"35,684 mi.","Van Nuys, CA(1732 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836012310/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,N/A,"25,492 mi.","Chattanooga, TN(508 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835946478/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$49,995","26,607 mi.","Raleigh, NC(662 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835921421/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$72,998","4,283 mi.","Las Vegas, NV(1510 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833546193/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$72,500","6,767 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701037/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2017,"$61,900","2,238 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701038/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2017,"$61,900","1,919 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701039/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$71,500","1,879 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701036/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$50,229","12,400 mi.","Miami, FL(1211 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834617814/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$54,900","21,000 mi.","Las Vegas, NV(1512 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834597598/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$49,995","41,100 mi.","Vienna, VA(604 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834528503/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$67,500","1,620 mi.","Lilburn, GA(605 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834187270/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2017,"$56,598","8,350 mi.","Lakewood, CO(913 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833396625/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$47,999","39,250 mi.","Montclair, CA(1698 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833562890/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$83,898","1,714 mi.","Woodbury, NY(756 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833332736/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$47,994","27,573 mi.","Jacksonville, FL(885 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833146508/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$74,995","4,271 mi.","Tampa, FL(1025 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832012004/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2017,"$34,500","108,951 mi.","Midlothian, VA(634 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831176849/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$51,998","32,814 mi.","Webster, TX(954 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829095800/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$69,989","16,010 mi.","Cathedral City, CA(1644 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827961256/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2018,"$68,999","1,660 mi.","Alexandria, VA(615 mi. from 60004)",https://www.cars.com/vehicledetail/detail/826688801/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2019,"$69,692","9,443 mi.","Cathedral City, CA(1644 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824777548/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$49,900","29,323 mi.","Linden, NJ(720 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824218908/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2016,"$46,999","45,789 mi.","Marietta, GA(593 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824056177/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
01/31/21,Lexus GS F,2020,"$72,794","6,482 mi.","Sacramento, CA(1763 mi. from 60004)",https://www.cars.com/vehicledetail/detail/823621026/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,"Lexus GS F-SPORT / NAVIGATION / MARK LEVINSON 350,...",2018,"$40,999",N/A,"Fort Worth, TX, USA(835 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=274667040520
02/01/21,Lexus GS F Sport Hybrid 450h F Sport Hybrid,2018,"$56,995",N/A,"San Ramon, CA, USA(1815 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=233878763919
02/01/21,"Lexus GS F-SPORT / NAVIGATION / MARK LEVINSON 350,...",2018,"$41,999",N/A,"Fort Worth, TX, USA(835 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=274666079139
02/01/21,Lexus GS F F F Used Certified 5L V8 32V Automatic RWD...,2016,"$51,998",N/A,"Webster, TX, USA(960 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=154312702751
02/01/21,Lexus GS F SPORT / NAVIGATION / MARK LEVINSON AUDIO...,2019,"$46,998",N/A,"Dallas, TX, USA(805 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=383927083386
02/01/21,Lexus GS F F SPORT GS350 F Sport V6,2014,"$20,995",N/A,"Palm Bay, FL, USA(1060 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=353355032294
02/01/21,Lexus GS F,2020,"$68,999","8,366 mi.","Westmont, IL(21 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827809201/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,N/A,916 mi.,"Excelsior Springs, MO(378 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837146160/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$45,877","51,356 mi.","Omaha, NE(418 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835984630/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$35,995","104,487 mi.","Clarksville, IN(286 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833147124/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2017,"$50,988","40,875 mi.","Cincinnati, OH(276 mi. from 60004)",https://www.cars.com/vehicledetail/detail/831620093/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$48,690","34,575 mi.","Bethesda, MD(609 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837188241/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$47,295","40,000 mi.","Marietta, GA(593 mi. from 60004)",https://www.cars.com/vehicledetail/detail/837199368/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2018,"$59,998","34,771 mi.","Tulsa, OK(592 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836673372/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2019,"$68,988","5,255 mi.","Macon, GA(682 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833715067/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$46,000","66,761 mi.","Merritt Island, FL(1036 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836624010/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$48,988","49,303 mi.","Austin, TX(981 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836582997/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,"$72,998","2,498 mi.","Inglewood, CA(1736 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833080986/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2018,"$57,990","18,879 mi.","South Amboy, NJ(719 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836401807/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$43,970","85,680 mi.","Stone Mountain, GA(609 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836185754/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2018,N/A,"35,684 mi.","Van Nuys, CA(1732 mi. from 60004)",https://www.cars.com/vehicledetail/detail/836012310/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2019,N/A,"25,492 mi.","Chattanooga, TN(508 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835946478/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$49,995","26,607 mi.","Raleigh, NC(662 mi. from 60004)",https://www.cars.com/vehicledetail/detail/835921421/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,"$72,998","4,283 mi.","Las Vegas, NV(1510 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833546193/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2019,"$72,500","6,767 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701037/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2017,"$61,900","1,919 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701039/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2017,"$61,900","2,238 mi.","Cerritos, CA(1723 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834701038/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$50,229","12,400 mi.","Miami, FL(1211 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834617814/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$54,900","21,000 mi.","Las Vegas, NV(1512 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834597598/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$49,995","41,100 mi.","Vienna, VA(604 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834528503/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2019,"$67,500","1,620 mi.","Lilburn, GA(605 mi. from 60004)",https://www.cars.com/vehicledetail/detail/834187270/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2017,"$56,598","8,350 mi.","Lakewood, CO(913 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833396625/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$47,999","39,250 mi.","Montclair, CA(1698 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833562890/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,"$83,898","1,714 mi.","Woodbury, NY(756 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833332736/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$47,994","27,573 mi.","Jacksonville, FL(885 mi. from 60004)",https://www.cars.com/vehicledetail/detail/833146508/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,"$74,995","4,271 mi.","Tampa, FL(1025 mi. from 60004)",https://www.cars.com/vehicledetail/detail/832012004/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$51,998","32,814 mi.","Webster, TX(954 mi. from 60004)",https://www.cars.com/vehicledetail/detail/829095800/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2019,"$69,989","16,010 mi.","Cathedral City, CA(1644 mi. from 60004)",https://www.cars.com/vehicledetail/detail/827961256/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2018,"$68,999","1,660 mi.","Alexandria, VA(615 mi. from 60004)",https://www.cars.com/vehicledetail/detail/826688801/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2019,"$69,692","9,443 mi.","Cathedral City, CA(1644 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824777548/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2016,"$46,999","45,789 mi.","Marietta, GA(593 mi. from 60004)",https://www.cars.com/vehicledetail/detail/824056177/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,"$72,794","6,482 mi.","Sacramento, CA(1763 mi. from 60004)",https://www.cars.com/vehicledetail/detail/823621026/overview/?aff=atempest&cmp=atempest&utm_source=AutoTempest&utm_medium=TRP&utm_campaign=atempest
02/01/21,Lexus GS F,2020,"$74,995","4,271 mi.","Tampa, FL(1025 mi. from 60004)",http://details.vast.com/details/cars/ob-980c9cce91c3807e4ce3309b9549d11b960be68518c695070ce86dc4ca2c7076d44e995510de6d517ce761ef48f0ff406bf26f82a637df6dbf6160746a741de21c7fcb52f9fdb3863ed572d54c6189f9438458a1795e43772890e0cd82ffcb4ce2ec9ab51b4a8b9cf9da2c25cb3d83c0f9dbe789144aef0e0c50dfbd8d348bc5a7ed5e6dba59452436cae46fcdb68135b47af191a980f2a963cf42b02a815fca80fd0c366ff46a6599fa98f7c46b42d5/?pl=0
02/03/21,Lexus GS F SPORT / NAVIGATION / MARK LEVINSON AUDIO...,2019,"$46,998",N/A,"Dallas, TX, USA(805 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=373449042166
02/03/21,"Lexus GS F-SPORT / NAVIGATION / MARK LEVINSON 350,...",2018,N/A,N/A,"Fort Worth, TX, USA(835 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=274668365434
02/03/21,"Lexus GS F-SPORT / NAVIGATION / MARK LEVINSON 350,...",2018,N/A,N/A,"Fort Worth, TX, USA(835 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=184646267633
02/03/21,Lexus GS F Sport Hybrid 450h F Sport Hybrid,2018,"$56,995",N/A,"San Ramon, CA, USA(1815 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=233878763919
02/03/21,Lexus GS F F F Used Certified 5L V8 32V Automatic RWD...,2016,"$50,998",N/A,"Webster, TX, USA(960 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=154312702751
02/03/21,Lexus GS F F SPORT GS350 F Sport V6,2014,"$19,995",N/A,"Palm Bay, FL, USA(1060 mi. from 60004)",https://rover.ebay.com/rover/1/711-53200-19255-0/1?ff3=2&toolid=10044&campid=5336658105&customid=&lgeo=1&vectorid=229466&item=353355032294
